-able	可;易
-acyl	酰
-al	有
-ary	家
-ation	作用
-azine	吖嗪
-berg	堡
-burg	堡
-c	任安;埃斯库罗斯;晏婴;晏子;晏子春秋;枚乘;王伾;王著
-chin	嗪
-cn	氰基
-coh	醛基;醛糖
-cooh	羧基
-dae	垈
-driven	从动
-ean	一致字
-ed	有
-elect	候任
-ene	烯
-er	一点;家;者
-est	最
-fold	倍
-ful	有
-gate	门
-ian	家
-ible	易
-ing	正在
-ism	主义;唯;惟
-ist	家;者
-itis	炎
-ity	性
-ization	化
-ize	化
-jima	嶋;嶌
-less	无
-like	似
-ly	地;然
-mycin	霉素
-ness	性
-nuta	垈
-oh	氢氧根;羟基
-ology	学
-onium	𬭩
-oriented	面向
-ough	不一致字
-oxil	肟
-phile	控
-philia	控
-plated	鋈;镀
-shaped	状物
-shima	嶋;嶌
-tion	作用
-vich	维奇
-wich	维奇
-xine	嗪
-zine	嗪
a-	负分
a-bian	阿扁
a-bomb	原子弹
a-choo	哈啾;阿嚏
a-choy	A菜
a-class	正品
a-dou	阿斗
a-grade	三甲
a-lan	阿兰
a-list	A咖;腕级
a-mei	张惠妹
aa	三号电池;五号电池
aaa	七号电池;四号电池
aachen	亚琛;阿亨
aalen	阿伦
aalge	崖海鸦
aardvark	土猪;土豚
aardwolf	土狼
aarhus	奥胡斯
aaron	亚伦;炎亚纶
ab	自始
ababa	亚的斯亚贝巴;阿迪斯阿贝巴
abaca	蕉麻
aback	大吃一惊;少见多怪;跌眼镜
abacus	一推六二五;三下五除二;串;九九归一;九归;二一添作五;小算盘;归;归除;打小算盘;打算盘;抓周;珠算;算盘;顶板
abag	阿巴嘎旗
abalone	九孔;干货;鱼;鲍;鲍鱼
abandon	下马;丢下;丢弃;买笑追欢;儿不嫌母丑，狗不嫌家贫;割弃;卜昼卜夜;吃喝玩乐;奚落;带牛佩犊;废;废弃;弃;弃养;弃农经商;弃婴;弃子;弃用;弃绝;弃舍;弃船;恣;扔弃;抛;抛下;抛夫弃子;抛妻弃子;抛家弃子;抛弃;拚去;拚弃;拚除;捐;捐弃;摈弃;摒弃;撂;放弃;放浪形骸;朅;甩包袱;甩掉;离弃;离苦得乐;罢休;背弃;脱亚入欧;自暴自弃;自甘堕落;舍;舍下;舍己为人;舍己救人;舍弃;舍身求法;荒废;荒弃;见利忘义;辜;过河拆桥;违利赴名;遐;遐心;遗弃;酣畅;金盆洗手;锲而不舍
abandoned	僵尸车;废;弃婴;弃子;弃用;心影儿;熟荒;罢论;荒村;荒烟蔓草;韩复榘
abandoning	笑贫不笑娼;背信弃义
abandonment	废统
abandons	树倒猢狲散
abase	自卑
abassid	曼苏尔
abate	趋缓
abatis	鹿角
abattoir	屠刀;屠场;屠宰场
abba	阿爸;阿爸父
abbas	阿巴斯
abbasid	阿拔斯王朝
abbey	僧院;大修道院;大寺院;威斯敏斯特教堂;隐修院
abbot	住持;大修道院长;方丈;男修道院长;院牧
