一	GGLL,GGL,G
乙	NNLL,NNL
二	FGG,FG
十	FGH
丁	SGH
厂	DGT
七	AGN,AG
卜	HHY
八	WTY,W
人	WWWW,W
入	TYI,TY,K
儿	QTN,QT
匕	XTN
几	MTN,MT
九	VTN,VT
刁	NGD
了	BNH,B
刀	VNT,VN
力	LTN,LT
乃	ETN
又	CCCC,CCC,C
三	DGGG,DGG,DG
干	FGGH
于	GFK,GF
亏	FNV
工	AAAA,AAA,A
土	FFFF,F
士	FGHG
才	FTE,FT
下	GHI,GH
寸	FGHY,FGH
大	DDDD,DD
丈	DYI
与	GNGD,GNG,GN
万	DNV
上	HHGG,HHG,H
小	IHTY,IHT,IH
口	KKKK,K
山	MMMM,MMM,M
巾	MHK
千	TFK
乞	TNB
川	KTHH
亿	WNN,WN
个	WHJ,WH
夕	QTNY
久	QYI,QY
么	TCU,TC
勺	QYI
凡	MYI,MY
丸	VYI
及	EYI,EY
广	YYGT
亡	YNV
门	UYHN,UYH
丫	UHK
义	YQI,YQ
之	PPPP,PPP,PP,P
尸	NNGT
己	NNGN,NNG
已	NNNN,N
巳	NNGN,NNG
弓	XNGN,XNG,X
子	BBBB,BBB,BB,B
卫	BGD,BG
也	BNHN,BN
女	VVVV,VVV,V
刃	VYI
飞	NUI
习	NUD,NU
叉	CYI
马	CNNG,CNN,CN
乡	XTE
丰	DHK,DH
王	GGGG,GGG,G
开	GAK,GA
井	FJK
天	GDI,GD
夫	FWI,FW
元	FQB
无	FQV,FQ
云	FCU
专	FNYI,FNY
丐	GHNV,GHN
扎	RNN
艺	ANB
木	SSSS,S
五	GGHG,GGH,GG
支	FCU,FC
厅	DSK,DS
不	GII,GI,I,X
犬	DGTY
太	DYI,DY
区	AQI,AQ
历	DLV,DL
歹	GQI
友	DCU,DC
尤	DNV
匹	AQV
车	LGNH,LGN,LG
巨	AND
牙	AHTE,AHT,AH
屯	GBNV,GBN,GB
戈	AGNT,AGNY,A
比	XXN,XX
互	GXGD,GXG,GX
切	AVN,AV
瓦	GNYN,GNY
止	HHHG,HHH,HH
少	ITR,IT
曰	JHNG
日	JJJJ,J
中	KHK,KH,K
贝	MHNY,MH
冈	MQI
内	MWI,MW
水	IIII,III,II,I
见	MQB
午	TFJ
牛	RHK
手	RTGH,RTG,RT
气	RNB
毛	TFNV,TFN
壬	TFD
升	TAK
夭	TDI
长	TAYI,TAY,TA
仁	WFG
什	WFH
片	THGN,THG
仆	WHY
化	WXN,WX
仇	WVN
币	TMHK,TMH
仍	WEN,WE
仅	WCY
斤	RTTH,RTT
爪	RHYI
反	RCI,RC
介	WJJ,WJ
父	WQU
从	WWY,WW
仑	WXB
今	WYNB
凶	QBK,QB
分	WVB,WV
乏	TPI
公	WCU,WC
仓	WBB
月	EEEE,EEE,E
氏	QAV,QA
勿	QRE
欠	QWU,QW
风	MQI,MQ
丹	MYD
匀	QUD,QU
乌	QNGD,QNG
勾	QCI
凤	MCI,MC
六	UYGY,UY
文	YYGY
亢	YMB
方	YYGN,YY
火	OOOO,OOO,O
为	YLYI,YLY,YL,I,O
斗	UFK
忆	NNN,NN
计	YFH,YF
订	YSH,YS
户	YNE
认	YWY,YW
冗	PMB
讥	YMN
心	NYNY,NYN,NY
尺	NYI
引	XHH,XH
丑	NFD
巴	CNHN,CNH
孔	BNN
队	BWY,BW
办	LWI,LW
以	NYWY,NYW,C
允	CQB,CQ
予	CBJ
邓	CBH,CB
劝	CLN,CL
双	CCY,CC
书	NNHY,NNH
幻	XNN
玉	GYI,GY
刊	FJH
未	FII
末	GSI,GS
示	FIU,FI
击	FMK
打	RSH,RS
巧	AGNN
正	GHD
扑	RHY
卉	FAJ
扒	RWY
功	ALN,AL
扔	REN,RE
去	FCU
甘	AFD
世	ANV,AN
艾	AQU
古	DGHG,DGH
节	ABJ,AB
本	SGD,SG
术	SYI,SY
可	SKD,SK
丙	GMWI,GMW
左	DAF,DA
厉	DDNV,DDN
石	DGTG,D
右	DKF,DK
布	DMHJ,DMH
夯	DLB
戊	DNYT,DNY
龙	DXV,DX
平	GUHK,GUH,GU
灭	GOI
轧	LNN,LN
东	AII,AI
卡	HHU
北	UXN,UX
占	HKF,HK
凸	HGMG,HGM
卢	HNE,HN
业	OGD,OG
旧	HJG,HJ
帅	JMHH,JMH
归	JVG,JV
旦	JGF
目	HHHH,H
且	EGD,EG
叶	KFH,KF
甲	LHNH
申	JHK
叮	KSH
电	JNV,JN
号	KGNB,KGN
田	LLLL,LLL,L
由	MHNG,MH
只	KWU,KW
叭	KWY
史	KQI,KQ
央	MDI,MD
兄	KQB
叽	KMN
叼	KNGG,KNG
叫	KNHH,KNH,KN
叩	KBH
叨	KVN
另	KLB,KL
叹	KCY
冉	MFD
皿	LHNG,LHN
凹	MMGD,MM
囚	LWI
四	LHNG,LH
生	TGD,TG
矢	TDU
失	RWI,RW
乍	THFD,THF
禾	TTTT,TTT,T
丘	RGD
付	WFY
仗	WDYY
代	WAY,WA
仙	WMH,WM
们	WUN,WU
仪	WYQY,WYQ
白	RRRR,RRR,R
仔	WBG
他	WBN,WB
斥	RYI
瓜	RCYI,RCY
乎	TUHK,TUH
丛	WWGF,WWG
令	WYCU,WYC
用	ETNH,ET
甩	ENV,EN
印	QGBH,QGB
尔	QIU
乐	QII,QI
句	QKD
匆	QRYI,QRY
册	MMGD,MM
卯	QTBH
犯	QTBN,QTB
外	QHY,QH
处	THI,TH
冬	TUU
鸟	QYNG
务	TLB,TL
包	QNV,QN
饥	QNMN,QNM
主	YGD,YG,Y
市	YMHJ
立	UUUU,UUU,UU,U
冯	UCG,UC
玄	YXU
闪	UWI,UW
兰	UFF
半	UFK,UF
汁	IFH
汇	IAN
头	UDI
汉	ICY,IC
宁	PSJ,PS
穴	PWU
它	PXB,PX
讨	YFY
写	PGNG,PGN
让	YHG,YH
礼	PYNN
训	YKH,YK
议	YYQY,YYQ
必	NTE,NT
讯	YNFH,YNF
记	YNN,YN
永	YNII,YNI
司	NGKD,NGK
尼	NXV,NX
民	NAV,NA,N
弗	XJK
弘	XCY
出	BMK,BM
辽	BPK,BP
奶	VEN,VE
奴	VCY
召	VKF
加	LKG,LK
皮	HCI,HC
边	LPV,LP
孕	EBF
发	NTCY,NTC,V
圣	CFF
对	CFY,CF
台	CKF,CK
矛	CBTR,CBT
纠	XNHH,XNH
母	XGUI,XGU
幼	XLN
丝	XXGF,XXG
邦	DTBH,DTB
式	AA
迂	GFPK,GFP
刑	GAJH
戎	ADE
动	FCLN,FCL
扛	RAG
寺	FFU,FF
吉	FKF,FK
扣	RKG,RK
考	FTGN,FTG
托	RTAN,RTA
老	FTXB,FTX
巩	AMYY,AMY
圾	FEYY,FEY,FE
执	RVYY,RVY
扩	RYT,RY
扫	RVG,RV
地	FBN,FB,F
场	FNRT
扬	RNRT,RNR
耳	BGHG,BGH
芋	AGFJ,AGF
共	AWU,AW
芒	AYNB,AYN
亚	GOGD,GOG
芝	APU,AP
朽	SGNN
朴	SHY
机	SMN,SM
权	SCY,SC
过	FPI,FP
臣	AHNH,AHN
吏	GKQI,GKQ
再	GMFD,GMF
协	FLWY,FLW,FL
西	SGHG
压	DFYI,DFY
厌	DDI
戌	DGNT,DGN
在	DHFD,DHF,D
百	DJF,DJ
有	DEF,E
存	DHBD,DHB
而	DMJJ,DMJ
页	DMU
匠	ARK,AR
夸	DFNB,DFN
夺	DFU,DF
灰	DOU,DO
达	DPI,DP
列	GQJH,GQJ,GQ
死	GQXB,GQX
成	DNNT,DNN,DN
夹	GUWI,GUW
夷	GXWI,GXW
轨	LVN,LV
邪	AHTB
尧	ATGQ
划	AJH,AJ
迈	DNPV,DNP
毕	XXFJ,XXF
至	GCFF,GCF
此	HXN,HX
贞	HMU,HM
师	JGMH,JGM
尘	IFF
尖	IDU,ID
劣	ITLB,ITL
光	IQB,IQ
当	IVF,IV
早	JHNH,JHN,JH
吁	KGFH
吐	KFG
吓	KGHY,KGH
虫	JHNY
曲	MAD,MA
团	LFTE,LFT
吕	KKF,KK
同	MGKD,MGK,MG,M
吊	KMHJ,KMH
吃	KTNN,KTN
因	LDI,LD
吸	KEYY,KEY,KE
吗	KCG
吆	KXY
屿	MGNG,MGN
屹	MTNN
岁	MQU
帆	MHMY,MHM
回	LKD
岂	MNB,MN
则	MJH,MJ
刚	MQJH,MQJ
网	MQQI,MQQ
肉	MWWI,MWW
年	RHFK,RH
朱	RII,RI
先	TFQB,TFQ
丢	TFCU,TFC
廷	TFPD
舌	TDD
竹	TTGH,TTG
迁	TFPK,TFP
乔	TDJJ,TDJ
迄	TNPV,TNP
伟	WFNH,WFN
传	WFNY
乒	RGTR,RGT
乓	RGYU,RGY
休	WSY,WS
伍	WGG
伏	WDY
优	WDNN,WDN
臼	VTHG,VTH
伐	WAT
延	THPD,THP
仲	WKHH
件	WRHH,WRH
任	WTFG,WTF
伤	WTLN,WTL
价	WWJH,WWJ
伦	WWXN,WWX
份	WWVN,WWV
华	WXFJ,WXF
仰	WQBH
仿	WYN
伙	WOY,WO
伪	WYLY,WYL
自	THD
伊	WVTT,WVT
血	TLD
向	TMKD,TMK,TM
似	WNYW,WNY
后	RGKD,RGK,RG
行	TFHH,TF
舟	TEI
全	WGF,WG
会	WFCU,WFC,WF
杀	QSU
合	WGKF,WGK
兆	IQV
企	WHF
众	WWWU,WWW
爷	WQBJ,WQB
伞	WUHJ,WUH
创	WBJH,WBJ
肌	EMN,EM
肋	ELN,EL
朵	MSU,MS
杂	VSU,VS
危	QDBB,QDB
旬	QJD,QJ
旨	XJF,XJ
旭	VJD,VJ
负	QMU,QM
匈	QQBK,QQB
名	QKF,QK
各	TKF,TK
多	QQU,QQ
争	QVHJ,QVH,QV
色	QCB,QC
壮	UFG
冲	UKHH,UKH
妆	UVG,UV
冰	UIY,UI
庄	YFD
庆	YDI,YD
亦	YOU
刘	YJH,YJ
齐	YJJ
交	UQU,UQ
衣	YEU,YE
次	UQWY,UQW
产	UTE,UT,U
决	UNWY,UNW,UN
亥	YNTW
充	YCQB,YCQ,YC
妄	YNVF
闭	UFTE,UFT
问	UKD
闯	UCD
羊	UDJ
并	UAJ,UA
关	UDU,UD
米	OYTY,OYT,OY
灯	OSH,OS
州	YTYH
汗	IFH
污	IFNN,IFN
江	IAG,IA
汛	INFH,INF
池	IBN,IB
汝	IVG
汤	INRT,INR
忙	NYNN
兴	IWU,IW
宇	PGFJ,PGF
守	PFU,PF
宅	PTAB,PTA
字	PBF,PB
安	PVF,PV
讲	YFJH,YFJ
讳	YFNH
军	PLJ,PL
讶	YAHT,YAH
许	YTFH,YTF
讹	YWXN
论	YWXN,YWX
讼	YWCY,YWC
农	PEI
讽	YMQY,YMQ
设	YMCY,YMC
访	YYN
诀	YNWY,YNW
寻	VFU,VF
那	VFBH,VFB
迅	NFPK,NFP
尽	NYUU,NYU
导	NFU,NF
异	NAJ
弛	XBN,XB
孙	BIY,BI
阵	BLH,BL
阳	BJG,BJ
收	NHTY,NHT,NH
阶	BWJH,BWJ
阴	BEG,BE
防	BYN,BY
奸	VFH
如	VKG,VK
妇	VVG,VV
妃	VNN
好	VBG,VB
她	VBN
妈	VCG,VC
戏	CAT,CA
羽	NNYG,NNY
观	CMQN,CMQ,CM
欢	CQWY,CQW
买	NUDU
红	XAG,XA
驮	CDY
纤	XTFH,XTF
驯	CKH
